127.0.0.1 - - [23/Dec/2023:12:15:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:15:53 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:15:53 +0900] "GET /BBS/css/board.css?after HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:18:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:20:08 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2052
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:20:08 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 1089
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:14 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:14 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:16 +0900] "GET /BBS/MySQL_ConnectionTest.jsp HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:25:37 +0900] "GET /BBS/join.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:11 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:19 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:19 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:21 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:35 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:48 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:52 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:36:58 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:38:28 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1470
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:38:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:38:30 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:39:49 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:41:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:41:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:41:12 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:41:12 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Dec/2023:12:41:15 +0900] "GET /BBS/MySQL_ConnectionTest.jsp HTTP/1.1" 200 553
