127.0.0.1 - - [01/Jan/2024:15:52:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jan/2024:15:56:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [01/Jan/2024:15:56:52 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:15:56:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:02:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:20:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:22:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:22:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:30:16 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:30:32 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:31:32 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:33:50 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:33:51 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:33:52 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:33:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:34:00 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:36:06 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:36:31 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:43:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:43:42 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:47:30 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:47:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:49:57 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:49:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:50:05 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1514
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:50:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1566
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:50:43 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:53:52 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:53:54 +0900] "POST /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:57:33 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:57:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:57:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:57:46 +0900] "POST /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:57:48 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 634
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:57:52 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [01/Jan/2024:16:58:10 +0900] "POST /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:00:42 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:00:43 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:00:48 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:00:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:00:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:03:01 +0900] "POST /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:03:12 +0900] "POST /BBS/join.jsp HTTP/1.1" 200 1415
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:06:08 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:06:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:09:00 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:09:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1384
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:15:55 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:16:01 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:16:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1300
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:28:08 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:28:08 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:28:09 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 448
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:36:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:36:32 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:38:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:38:18 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:39:19 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:39:20 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:39:20 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:39:21 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:39:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:39:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 867
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:40:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:40:12 +0900] "GET /BBS/css/custom-styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:40:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 873
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:40:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [01/Jan/2024:17:40:20 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 873
